Id,Company,Primary Industry,Country,Url,Current Rank,Prior Rank,Executive1,Executive2,Earnings Per Share Growth,Cost Of Goods Sold,Current Liabilities,Total Assets,Long Term Debt,Return On Equity,Revenue,Total Company Assets,Revenue Growth,Net Income,Earnings Per Share,Total Equity,Profit Margin,Debt To Equity Ratio,Inventory Turnover
802,Kingboard Chemical Holdings Ltd.,Fabricated Metal Products,Hong Kong Special Administrative Region of China,www.kingboard.com,804,773,"Mr. Kwok Wing Cheung, Chairman","Mr. Wing Kwan Chan, Managing Director",-34.94%,,"$2,103 ","$4,708 ",1866.78,4.62582,"$4,230 ","$9,408 ",-8.68%,$212 ,($34.94),"$4,547 ",5.03%,0.41%,295.076
803,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,India,www.sunpharma.com,803,NA,"Mr. S. Kalyanasundaram, Chief Executive Officer","Mr. Sudhir V. Valia, Executive Director",24.34%,,"$2,472 ","$4,403 ",206.91,24.5041,"$4,230 ","$7,413 ",68.23%,$686 ,$24.34 ,"$3,876 ",16.22%,0.05%,857.018
804,China CSSC Holdings Ltd.,"Railcars, Ships, & Other Trans. Equip.",China,www.csscholdings.com,799,798,"Chen Qiong, Accountant General","Liu Wenguang, Staff Supervisor",33.33%,,"$3,967 ","$5,394 ",735.336,0.35542,"$4,274 ","$7,903 ",-1.98%,$9 ,$33.33 ,"$2,702 ",0.22%,0.27%,2206.88
805,General Cable Corp.,Fabricated Metal Products,United States,www.generalcable.com,805,654,"Mr. Michael T. McDonnell, President;Chief Executive Officer","Mr. Emmanuel Sabonnadiere, Executive Vice President;Region Officer",NM,,$949 ,"$1,741 ",923.7,-30.0376,"$4,225 ","$2,466 ",-29.34%,($135),NM,$228 ,-3.21%,4.05%,807.8
806,UCB SA,Pharmaceuticals,Belgium,www.ucb.com,806,882,"Dr. Roch Doliveux, Executive Chairman;Chief Executive Officer","Fabrice Enderlin, Executive Vice President",195.46%,,"$3,334 ","$3,091 ",1726.4,12.455,"$4,221 ","$11,933 ",15.91%,$678 ,$195.46 ,"$6,178 ",16.07%,0.28%,616.493
807,Calumet Specialty Products Partners LP,Petroleum & Coal Products,United States,www.calumetspecialty.com,807,671,"Mr. Timothy Go, Chief Executive Officer","Mr. Ferdinand William Grube, Executive Vice-Chairman",NM,,$626 ,$609 ,1698.2,NA,"$4,212 ","$2,944 ",-27.25%,($139),NM,NA,-3.31%,NA,384.4
808,Andersons Inc.,Chemicals,United States,www.andersonsinc.com,809,803,"Mr. Michael J. Anderson, Chairman","Mr. Patrick E. Bowe, President;Chief Executive Officer",-111.98%,,$888 ,"$1,129 ",436.208,-1.62706,"$4,198 ","$2,359 ",-7.52%,($13),($111.98),$764 ,-0.31%,0.57%,747.399
809,Bangchak Petroleum Public Co. Ltd.,Petroleum & Coal Products,Thailand,www.bangchak.co.th,810,676,"Dr. Anusorn Sangnimnuan, President;Secretary","Mr. Vichien Usanachote, Senior Executive Vice President",NA,,$291 ,$938 ,906.889,12.4623,"$4,194 ","$2,274 ",-17.42%,$115 ,NA,$984 ,2.75%,0.92%,387.029
810,MDU Resources Group Inc.,Miscellaneous,United States,www.mdu.com,812,781,"Mr. Harry Jonathan Pearce, Chairman","Mr. David L. Goodin, President;Chief Executive Officer",-306.45%,,$947 ,"$1,021 ",1627.44,-20.9854,"$4,191 ","$6,627 ",-10.26%,($657),($306.45),"$2,396 ",-15.69%,0.68%,253.727
811,Coach Inc.,Apparel,United States,www.coach.com,811,758,"Mr. Jide J. Zeitlin, Chairman","Mr. Victor Luis, Chief Executive Officer",-48.03%,,$834 ,"$2,506 ",879.1,16.6236,"$4,191 ","$4,666 ",-12.79%,$402 ,($48.03),"$2,489 ",9.60%,0.35%,485.1
812,Hoya Corp.,"Stone, Clay, Glass & Concrete Products",Japan,www.hoya.co.jp,808,867,"Hiroshi Suzuki, Representative Executive Officer;Chief Executive","Ryo Hirooka, Rep Executive Officer;Chief Financial",3.32%,,$792 ,"$3,936 ",294.103,15.792,"$4,201 ","$5,308 ",3.22%,$774 ,$3.32 ,"$4,097 ",18.42%,0.07%,551.655
813,Nintendo Co. Ltd.,Miscellaneous,Japan,www.nintendo.co.jp,813,761,"Tatsumi Kimishima, President","Shinya Takahashi, Managing Director",NA,,$817 ,"$8,482 ",,1.41377,"$4,190 ","$10,773 ",-8.24%,$137 ,NA,"$9,642 ",3.27%,NA,335.879
814,Claas KGaA,Machinery,Germany,www.claas.com,814,769,"Dr. Theo W. Freye, Ph.D., Speaker",Lothar Kriszun,-5.75%,,"$1,231 ","$2,559 ",665.414,8.9016,"$4,180 ","$3,641 ",0.41%,$114 ,($5.75),"$1,335 ",2.73%,0.50%,951.027
815,Graphic Packaging Holding Co.,Paper,United States,www.graphicpkg.com,816,851,"Mr. Philip R. Martens, Chairman","Mr. Stephen M. Humphrey, Vice-Chairman",159.26%,,$732 ,"$1,066 ",1838.9,22.7304,"$4,160 ","$4,256 ",-1.89%,$230 ,$159.26 ,"$1,101 ",5.53%,1.67%,557.1
816,Aryzta AG,Food,Switzerland,www.aryzta.com,815,668,"Owen Killian, Chief Executive Officer","Patrick McEniff, Chief Financial Officer;Chief Operating Officer",371.09%,,"$1,033 ",$916 ,2109.99,19.4089,"$4,161 ","$7,237 ",-20.56%,$571 ,$371.09 ,"$3,489 ",13.74%,0.60%,283.037
817,Chugai Pharmaceutical Co. Ltd.,Pharmaceuticals,Japan,www.chugai-pharm.co.jp,817,911,"Osamu Nagayama, Chairman","Motoo Ueno, Vice-Chairman",19.72%,,"$1,105 ","$4,716 ",5.01746,10.2542,"$4,143 ","$6,540 ",8.18%,$507 ,$19.72 ,"$5,199 ",12.25%,0.00%,1338.56
818,Xiamen King Long Motor Co. Ltd.,Motor Vehicles,China,www.xmklm.com.cn,820,975,"Xie Siyu, Deputy General Manager;General Manager","Qiao Hongjun, Financial Controller",73.21%,,"$2,671 ","$3,461 ",82.3769,21.9767,"$4,131 ","$3,908 ",25.22%,$82 ,$73.21 ,$597 ,1.99%,0.14%,484.323
819,Orica Ltd.,Chemicals,Australia,www.orica.com,819,691,"Ian K. Smith, Managing Director;Chief Executive Officer","Annette M. Cook, CPA, Secretary",-309.49%,NA,"$1,118 ","$1,385 ",1566.9,-29.7302,"$4,133 ","$5,353 ",-16.82%,($926),($309.49),"$2,182 ",-22.42%,0.72%,437.792
820,Vallourec Group SA,Primary Metals,France,www.vallourec.com,818,596,"Philippe Crouzet, Chairman","Olivier Mallet, Chief Financial Officer;General Counsel",NM,,"$1,794 ","$2,798 ",1920.23,-23.101,"$4,142 ","$7,614 ",-33.28%,($941),NM,"$2,881 ",-22.74%,0.67%,1161.28
821,Kolon Industries Inc.,Plastics,Korea,,821,757,"Mr. Wung-Yeol Lee, MBA, Chairman","Mr. Dong-Mun Park, President;Chief Executive Officer",-411.66%,,"$1,554 ","$1,652 ",696.803,-7.65963,"$4,127 ","$4,237 ",-9.01%,($122),($411.66),"$1,557 ",-2.97%,0.45%,724.787
822,OAO TMK,Fabricated Metal Products,Russian Federation,www.tmk-group.com,822,651,"Mr. Alexander G. Shiryaev, Chairman of the Management Board;President","Dr. Andrey Yu Kaplunov, Ph.D., Deputy Chief Executive;Senior Vice President",NM,,"$1,322 ","$1,714 ",2201.37,-30.1499,"$4,126 ","$4,411 ",-31.32%,($363),NM,$661 ,-8.80%,3.33%,784.552
823,Western Mining Co. Ltd.,Primary Metals,China,www.westmining.com,823,901,Ma Zhaochang,Li Shenghong,-91.67%,,"$1,673 ","$1,606 ",446.067,0.267139,"$4,121 ","$4,398 ",10.39%,$4 ,($91.67),"$1,751 ",0.11%,0.25%,152.812
824,Axalta Coating Systems Ltd.,Miscellaneous,Bermuda,www.axaltacoatingsystems.com,824,827,"Mr. Charles W. Shaver, Chairman;Chief Executive Officer","Dr. Robert W. Bryant, Ph.D., Executive Vice President;Chief Financial Officer",225%,,$881 ,"$1,917 ",3391.4,8.96908,"$4,113 ","$5,854 ",-6.33%,$93 ,$225.00 ,"$1,073 ",2.28%,3.16%,530.7
825,FAW Car Co. Ltd.,Motor Vehicle Parts,China,www.fawcar.com.cn,826,700,"Wang Yuchun, Deputy General Manager","An Tiecheng, General Manager",-67.20%,,"$1,362 ","$1,363 ",,0.605459,"$4,105 ","$2,777 ",-21.25%,$8 ,($67.20),"$1,341 ",0.20%,NA,509.021
826,Regeneron Pharmaceuticals Inc.,Pharmaceuticals,United States,www.regeneron.com,827,NA,"Dr. P. Roy Vagelos, M.D., Chairman","Dr. Leonard S. Schleifer, M.D., Ph.D., President;Chief Executive Officer",79.80%,,$811 ,"$2,915 ",362.919,25.0187,"$4,103 ","$5,609 ",45.55%,$636 ,$79.80 ,"$3,654 ",15.50%,0.10%,238.578
827,Brunswick Corp.,Miscellaneous,United States,www.brunswick.com,825,916,"Mr. Mark D. Schwabero, Chairman","Mr. William L. Metzger, Senior Vice President;Chief Financial Officer",-0.78%,,$908 ,"$1,984 ",442.5,20.6061,"$4,105 ","$3,152 ",6.96%,$241 ,($0.78),"$1,281 ",5.88%,0.35%,685
828,Eregli Demir Ve Celik Fabrikalari TAS,Fabricated Metal Products,Turkey,www.erdemir.com.tr,829,845,"Oguz N. OZGEN, Chief Executive Officer","Esat Gunday, Executive Vice President",NA,,$895 ,"$2,738 ",,11.2554,"$4,078 ","$6,379 ",3.75%,$385 ,NA,"$4,169 ",9.45%,NA,1108.44
829,Oki Electric Industry Co. Ltd.,Communications Equipment,Japan,www.oki.com,830,805,"Hideichi Kawasaki, Chairman","Shinya Kamagami, President",NA,,"$1,654 ","$2,306 ",410.294,5.52107,"$4,073 ","$3,420 ",-9.23%,$54 ,NA,$887 ,1.35%,0.46%,660.145
830,Duerr AG,Chemicals,Germany,www.durr.com,828,NA,"Mr. Ralf W. Dieter, Chief Executive Officer;Chairman","Mr. Ralph Heuwing, Chief Financial Officer",7.85%,,"$1,837 ","$1,965 ",323.398,53.3234,"$4,103 ","$3,253 ",46.30%,$357 ,$7.85 ,$759 ,8.71%,0.43%,421.241
831,Mead Johnson Nutrition Co.,Beverages,United States,www.meadjohnson.com,832,823,"Mr. James Milton Cornelius, Chairman","Mr. Peter Kasper Jakobsen, President;Chief Executive Officer",-7.63%,,"$1,253 ","$2,602 ",2981,NM,"$4,071 ","$3,998 ",-7.67%,$653 ,($7.63),($632),16.05%,NM,484.9
832,Avichina Industry & Technology Co. Ltd.,Motor Vehicle Parts,China,www.avichina.com,833,862,"Mr. Zuoming Lin, Chairman;Legal Representative","Mr. Ruisong Tan, Vice-Chairman;President",10.49%,,"$4,713 ","$6,860 ",497.863,7.97506,"$4,066 ","$9,338 ",2.72%,$132 ,$10.49 ,"$1,847 ",3.27%,0.27%,2780.22
833,Bemis Co. Inc.,Miscellaneous,United States,www.bemis.com,831,838,"Mr. Henry J. Theisen, Executive Chairman","Mr. Jeffrey H. Curler, Chairman Emeritus",29.10%,,$589 ,"$1,119 ",1353.9,16.6992,"$4,071 ","$3,489 ",-6.26%,$239 ,$29.10 ,"$1,207 ",5.88%,1.12%,525.9
834,Korea Zinc Co. Ltd.,Primary Metals,Korea,www.koreazinc.co.kr,835,825,"Mr. Chang-Gurl Choi, MBA, Honorary Chairman","Mr. Chang-Young Choi, Ph.D., Honorary Chairman",1.61%,,$331 ,"$2,157 ",20.0231,10.9924,"$4,055 ","$5,021 ",-3.38%,$432 ,$1.61 ,"$4,315 ",10.68%,0.00%,862.875
835,Qisda Corp.,Communications Equipment,Taiwan Province of China,www.qisda.com,836,855,"K.Y. Lee, Chairman","Hui Hsiung, President;Chief Executive Officer",-27.33%,,"$1,584 ","$1,698 ",464.213,8.2519,"$4,050 ","$3,050 ",-0.31%,$66 ,($27.33),$829 ,1.63%,0.56%,498.684
836,Fresh Del Monte Produce Inc.,Food,Cayman Islands,www.freshdelmonte.com,834,899,"Mr. Mohammad Abu-Ghazaleh, Chairman;Chief Executive Officer","Mr. Hani El-Naffy, President;Chief Operating Officer",-53.75%,,$381 ,$985 ,252.7,3.57,"$4,056 ","$2,596 ",3.28%,$62 ,($53.75),"$1,708 ",1.54%,0.15%,481.9
837,Tesla Motors Inc.,Motor Vehicles,United States,www.teslamotors.com,837,NA,"Mr. Elon R. Musk, Chairman;Chief Executive Officer","Mr. Gilbert Passin, Vice President",NM,,"$2,816 ","$2,791 ",2040.38,-97.4721,"$4,046 ","$8,092 ",26.50%,($888),NM,"$1,088 ",-21.96%,1.87%,1277.84
838,Ebara Corp.,Machinery,Japan,www.ebara.co.jp,838,881,"Natsunosuke Yago, Chairman","Toichi Maeda, President",-27.00%,,"$2,156 ","$3,517 ",331.102,7.19552,"$4,039 ","$4,814 ",0.73%,$143 ,($27.00),"$2,010 ",3.55%,0.16%,738.555
839,Agilent Technologies Inc.,Instruments,United States,www.investor.agilent.com,839,581,"Mr. Michael R. McMullen, Chief Executive Officer","Mr. Henrik Ancher-Jensen, Senior Vice President;Region Officer",-19.46%,,$976 ,"$3,686 ",1655,7.56889,"$4,038 ","$7,479 ",-42.16%,$401 ,($19.46),"$4,167 ",9.93%,0.40%,541
840,Gibson Energy Inc,Petroleum & Coal Products,Canada,www.gibsons.com,840,550,"A. Stewart Hanlon, President;Chief Executive Officer","Richard G. Taylor, Executive Vice President;Chief Financial Officer",-405.48%,,$366 ,$429 ,929.811,-19.6651,"$4,026 ","$2,363 ",-34.78%,($202),($405.48),$840 ,-5.02%,1.11%,77.4658
841,Anglogold Ashanti Ltd.,Primary Metals,South Africa,www.anglogoldashanti.com,842,726,"Srinivasan Venkatakrishnan, Chief Executive Officer","Christine Ramon, Chief Financial Officer",NM,,$707 ,"$1,350 ",2637,-2.9877,"$4,015 ","$7,284 ",-23.05%,($85),NM,"$2,430 ",-2.12%,1.09%,646
842,China National Accord Medicines Co. Ltd.,Pharmaceuticals,China,www.szaccord.com.cn,844,910,"Lin Zhaoxiong, Deputy General Manager;General Manager","Lin Min, Deputy General Manager",10.53%,,"$1,128 ","$1,726 ",11.1625,15.9785,"$4,002 ","$2,035 ",8.51%,$117 ,$10.53 ,$839 ,2.93%,0.01%,390.045
843,Thor Industries Inc.,Motor Vehicles,United States,www.thorindustries.com,843,960,"Mr. Peter B. Orthwein, Chairman","Mr. Robert W. Martin, President;Chief Executive Officer",11.64%,,$378 ,$775 ,NA,20.3933,"$4,006 ","$1,503 ",13.65%,$199 ,$11.64 ,"$1,065 ",4.98%,NA,246.115
844,Bekaert NV,Fabricated Metal Products,Belgium,www.bekaert.com,845,897,"Matthew Taylor, Chief Executive Officer","Lieven Larmuseau, Executive Vice President",36.46%,,"$1,402 ","$2,135 ",862.781,7.46047,"$3,998 ","$4,227 ",14.16%,$111 ,$36.46 ,"$1,508 ",2.78%,0.57%,684.821
845,Barloworld Ltd.,Miscellaneous,South Africa,www.barloworld.com,841,707,"Mr. Clive Bradney Thomson, Chief Executive Officer","Mr. Donald Gert Wilson, Financial Director",-19.99%,,"$1,025 ","$1,798 ",581.916,10.1469,"$4,022 ","$3,088 ",1.00%,$109 ,($19.99),"$1,245 ",2.73%,0.47%,882.878
846,Technicolor SA,Computers & Other Electronic Products,France,www.technicolor.com,849,879,"Mr. Didier Lombard, Chairman","Mr. Frederic Rose, Chief Executive Officer;Member",-43.59%,,"$1,906 ","$1,964 ",1314.68,36.7713,"$3,977 ","$4,684 ",9.60%,$89 ,($43.59),$721 ,2.25%,1.82%,338.745
847,Shree Cements Ltd.,"Stone, Clay, Glass & Concrete Products",India,www.shreecementltd.com,848,NA,"Shri B.G. Bangur, Chairman","Shri H.M. Bangur, Managing Director",-56.68%,,$876 ,"$1,411 ",242.778,7.23952,"$3,986 ","$4,837 ",-13.16%,$257 ,($56.68),"$3,191 ",6.47%,0.08%,555.738
848,Liuzhou Iron & Steel Co. Ltd.,Fabricated Metal Products,China,www.liusteel.com,847,675,"Ban Junchao, Deputy General Manager;Secretary","Shi Haining, Deputy General Manager",-805.32%,,"$2,398 ","$1,794 ",391.183,-10.4333,"$3,989 ","$3,483 ",-27.26%,($183),($805.32),"$1,366 ",-4.59%,0.29%,816.443
849,Advanced Micro Devices Inc.,Computers & Other Electronic Products,United States,www.amd.com,846,699,"Mr. John E. Caldwell, Chairman","Dr. Lisa T. Su, President;Chief Executive Officer",NM,,"$1,403 ","$2,320 ",2032,NM,"$3,991 ","$3,109 ",-27.52%,($660),NM,($412),-16.54%,NM,678
850,AMETEK Inc.,Instruments,United States,www.ametek.com,850,888,"Mr. Frank S. Hermance, Chairman","Mr. David A. Zapico, Chief Executive Officer",3.38%,,"$1,025 ","$1,619 ",1556.05,18.2389,"$3,974 ","$6,664 ",-1.19%,$590 ,$3.38 ,"$3,254 ",14.87%,0.48%,514.451
851,Trinseo SA,Plastics,Luxembourg,www.trinseo.com,852,NA,"Mr. Christopher D. Pappas, President;Chief Executive Officer","Mr. Martin Pugh, Executive Vice President",NM,,$449 ,"$1,289 ",1202.8,41.6521,"$3,971 ","$2,284 ",-22.54%,$133 ,NM,$389 ,3.36%,3.09%,353.097
852,Galenica AG,Pharmaceuticals,Switzerland,www.galenica.com,851,935,"Dr. David R. Ebsworth, Ph.D., Chief Executive Officer;Division Officer","Dr. Joerg Kneubuehler, Chief Financial Officer",5.79%,,$809 ,"$1,431 ",673.444,17.5817,"$3,972 ","$3,665 ",7.47%,$303 ,$5.79 ,"$1,892 ",7.63%,0.36%,386.473
853,Colfax Corp,Machinery,United States,www.colfaxcorp.com,853,785,"Mr. Mitchell P. Rales, Chairman","Mr. Matthew L. Trerotola, President;Chief Executive Officer",-55.63%,,"$1,116 ","$1,759 ",1411.76,5.33042,"$3,967 ","$6,732 ",-14.22%,$167 ,($55.63),"$3,069 ",4.23%,0.46%,420.386
854,Tokai Rika Co. Ltd.,Motor Vehicle Parts,Japan,www.tokai-rika.co.jp,855,922,"Kenji Miura, President","Yoshihiro Obayashi, Executive Vice President",-71.78%,,$950 ,"$1,637 ",7.7754,2.45634,"$3,955 ","$3,018 ",5.31%,$46 ,($71.78),"$1,749 ",1.17%,0.00%,271.267
855,Under Armour Inc.,Apparel,United States,www.underarmour.com,854,NA,"Mr. Kevin A. Plank, Chairman;President","Mr. William J. Kraus, Senior Vice President",10.53%,,$478 ,"$1,498 ",627,17.2238,"$3,963 ","$2,868 ",28.50%,$232 ,$10.53 ,"$1,668 ",5.87%,0.38%,783.031
856,Antero Resources Corp.,Petroleum & Coal Products,United States,www.anteroresources.com,856,NA,"Mr. Paul M. Rady, Chairman;Chief Executive Officer","Mr. Glen C. Warren, Jr., President;Chief Financial Officer",33.46%,NA,$707 ,"$1,248 ",4708.51,21.4737,"$3,954 ","$14,155 ",45.37%,$941 ,$33.46 ,"$5,934 ",23.80%,0.79%,NA
857,SMC Corp.,Computers & Other Electronic Products,Japan,www.smcworld.com,857,1003,"Yoshiyuki Takada, Chairman","Katsunori Maruyama, President",NA,,"$1,248 ","$6,206 ",27.6209,10.0232,"$3,950 ","$9,305 ",3.83%,$765 ,NA,"$7,803 ",19.37%,0.00%,1516.55
858,Daio Paper Corp.,Paper,Japan,www.daio-paper.co.jp,858,952,"Masayoshi Sako, President","Toshihiro Adachi, Senior Managing Director",NA,,"$1,821 ","$2,136 ",1911.68,9.44889,"$3,938 ","$5,452 ",5.29%,$121 ,NA,"$1,354 ",3.08%,1.41%,574.591
859,Leggett & Platt Inc.,Furniture & Fixtures,United States,www.leggett.com,860,923,"Mr. Karl G. Glassman, President;Chief Executive Officer","Mr. Matthew C. Flanigan, Executive Vice President",235.29%,,$701 ,"$1,311 ",945.4,28.3559,"$3,917 ","$2,967 ",3.57%,$325 ,$235.29 ,"$1,085 ",8.30%,0.87%,504.6
860,American Axle & Mfg. Holdings Inc.,Motor Vehicle Parts,United States,www.aam.com,862,940,"Mr. David C. Dauch, Chairman","Mr. Yogendra N. Rahangdale, Vice-Chairman;Chief Technology Officer",63.24%,,$699 ,"$1,124 ",1375.7,207.76,"$3,903 ","$3,202 ",5.60%,$235 ,$63.24 ,$301 ,6.04%,4.56%,230.5
861,CSSC Offshore & Marine Engineering Group Co. Ltd.,"Railcars, Ships, & Other Trans. Equip.",China,www.chinagsi.com,859,NA,"Chen Liping, Chief Accounting Officer;General Manager","Fu Xiaosi, Supervisor",-51.77%,,"$4,613 ","$5,296 ",1030.18,1.7466,"$3,929 ","$7,544 ",167.76%,$15 ,($51.77),"$1,588 ",0.39%,0.65%,1654.11
862,Gamesa Corporacion Tecnologica SA,Aerospace & Defense,Spain,www.gamesa.es,863,NA,"Ignacio San Vicente, Chairman","Juan Arregui Ciarsolo, Deputy Chairman",NA,,"$2,447 ","$3,302 ",484.592,12.2871,"$3,903 ","$5,054 ",23.52%,$185 ,NA,"$1,663 ",4.75%,0.29%,874.919
863,Nissin Food Holdings Co. Ltd.,Food,Japan,www.nissin.com,864,965,"Koki Ando, President;Chief Executive Officer","Noritaka Ando, Executive Vice President;Chief Operating Officer",46.15%,,"$1,087 ","$1,586 ",108.332,7.39992,"$3,888 ","$4,594 ",8.46%,$223 ,$46.15 ,"$3,006 ",5.74%,0.04%,225.686
864,Harbin Electric Co. Ltd.,Electrical Equipment & Appliances,China,www.hpec.com,861,868,"Mr. Jing-kun Gong, Chairman;Legal Representative","Mr. Lei Zou, Executive Director",-65.33%,,"$7,047 ","$8,642 ",461.341,1.55096,"$3,912 ","$9,879 ",6.80%,$30 ,($65.33),"$1,956 ",0.77%,0.24%,2385.35
865,Companhia Siderurgica Nacional,Primary Metals,Brazil,www.csn.com.br,866,612,"Benjamin Steinbruch, Chairman;Chief Executive Officer","Jacks Rabinovich, Vice-Chairman",NM,,"$1,344 ","$4,148 ",8182.52,22.082,"$3,871 ","$12,283 ",-4.93%,$317 ,NM,"$1,935 ",8.20%,4.23%,1247.61
866,WhiteWave Foods Co.,Food,United States,www.whitewave.com,867,980,"Mr. Gregory S. Christenson, Executive Vice President;Chief Financial Officer","Mr. Blaine E. McPeak, President",18.99%,,$604 ,$606 ,2078.94,15.6428,"$3,866 ","$4,228 ",12.50%,$168 ,$18.99 ,"$1,210 ",4.36%,1.72%,270.737
867,Prada Spa,Apparel,Italy,www.pradagroup.com,868,842,"Ms. Miuccia Prada Bianchi, President;Chief Executive Officer","Ms. Ying-kwai Yuen, MBA, Joint Secretary",-26.70%,,$862 ,"$2,056 ",566.907,11.0269,"$3,864 ","$5,180 ",-0.11%,$360 ,($26.70),"$3,355 ",9.33%,0.17%,754.466
868,Triumph Group Inc.,Aerospace & Defense,United States,www.triumphgroup.com,865,904,"Mr. Daniel J. Crowley, President;Chief Executive Officer",Mr. Jeffry D. Frisby,-554.92%,,"$1,135 ","$1,742 ",1374.88,-49.0668,"$3,886 ","$4,835 ",-0.07%,"($1,047)",($554.92),$934 ,-26.97%,1.47%,1184.24
869,Slovnaft AS,Petroleum & Coal Products,Slovakia,www.slovnaft.sk,870,673,"Jozsef Farkas Simola, Chairman","Akos Retfalvi, Deputy Chairman",NM,NA,$532 ,$693 ,187.987,15.6966,"$3,839 ","$2,474 ",-12.00%,$229 ,NM,"$1,634 ",5.96%,0.12%,221.982
870,Anglo American Platinum Ltd.,Primary Metals,South Africa,www.angloplatinum.com,871,815,"Neville Francis Nicolau, MBA, Chief Executive Officer","Bongani Nqwababa, MBA, Financial Director",-2043.28%,,$715 ,"$1,395 ",783.541,-23.8982,"$3,835 ","$4,743 ",7.56%,($777),"($2,043.28)","$2,593 ",-20.27%,0.30%,1062.7
871,Nippon Light Metal Holdings Co. Ltd.,Fabricated Metal Products,Japan,www.nikkeikinholdings.co.jp,869,990,"Takashi Ishiyama, Chairman","Ichiro Okamoto, President",61.00%,,"$1,552 ","$2,054 ",798.673,12.7926,"$3,857 ","$3,756 ",7.63%,$129 ,$61.00 ,"$1,081 ",3.34%,0.74%,498.614
872,Lonza Group AG,Pharmaceuticals,Switzerland,www.lonza.com,873,931,"Richard Ridinger, Chief Executive Officer","Toralf Haag, Chief Financial Officer",15.35%,,"$1,586 ","$1,856 ",1423.82,13.0047,"$3,829 ","$6,291 ",4.48%,$278 ,$15.35 ,"$2,149 ",7.28%,0.66%,899.202
873,Lonza Ltd. (Switzerland),Pharmaceuticals,Switzerland,www.lonza.com,872,930,"Richard Ridinger, Chief Executive Officer","Toralf Haag, Chief Financial Officer",15.35%,,"$1,586 ","$1,856 ",1423.82,13.0047,"$3,829 ","$6,291 ",4.48%,$278 ,$15.35 ,"$2,149 ",7.28%,0.66%,899.202
874,Nanjing Pharmaceutical Co. Ltd.,Pharmaceuticals,China,www.njyy.com,875,955,"Zhou Jianjun, Chief Sales Officer;President","Yang Qing, Supervisor",NA,,"$1,493 ","$1,738 ",,7.3194,"$3,820 ","$1,939 ",12.40%,$24 ,NA,$354 ,0.63%,NA,321.009
875,Daido Steel Co. Ltd.,Primary Metals,Japan,www.daido.co.jp,874,917,"Tadashi Shimao, Chairman","Takeshi Ishiguro, President",NA,,"$1,191 ","$1,980 ",762.994,2.63494,"$3,826 ","$4,449 ",-4.77%,$56 ,NA,"$1,934 ",1.46%,0.39%,790.258
876,CommScope Holding Co. Inc.,Communications Equipment,United States,www.commscope.com,876,919,"Mr. Frank M. Drendel, Chairman","Mr. Marvin S. Edwards, Jr., President;Chief Executive Officer",-129.84%,,$685 ,"$2,004 ",5231.13,-5.42016,"$3,807 ","$7,502 ",-0.57%,($70),($129.84),"$1,222 ",-1.86%,4.28%,441.815
877,Flowers Foods Inc.,Food,United States,www.flowersfoods.com,877,928,"Mr. Allen L. Shiver, President;Chief Executive Officer","Mr. R. Steve Kinsey, Chief Financial Officer;Executive Vice President",8.54%,,$403 ,$537 ,933.932,16.8463,"$3,778 ","$2,885 ",0.79%,$189 ,$8.54 ,"$1,243 ",5.01%,0.75%,168.465
878,Jiangling Motors Corp. Ltd.,Motor Vehicles,China,www.jmc.com.cn,878,869,"Wan Hong, Vice President;Secretary","Liu Qing, Supervisor",5.33%,,"$1,350 ","$2,072 ",0.720221,20.9659,"$3,776 ","$3,241 ",-3.95%,$342 ,$5.33 ,"$1,844 ",9.06%,0.00%,266.521
879,Fortum Corp.,Petroleum & Coal Products,Finland,www.fortum.com,880,666,"Matti Ruotsala, Executive Vice President;Division Officer","Juha Laaksonen, Executive Vice President;Chief Financial Officer",31.27%,,"$2,224 ","$10,467 ",5407.93,38.0891,"$3,767 ","$24,798 ",-27.19%,"$4,507 ",$31.27 ,"$15,024 ",119.63%,0.36%,251.608
880,USG Corp.,"Stone, Clay, Glass & Concrete Products",United States,www.usg.com,879,932,"Mr. James S. Metcalf, Chairman;President","Mr. Matthew F. Hilzinger, Executive Vice President",2592%,,$991 ,"$1,400 ",1675,243.489,"$3,776 ","$4,736 ",1.40%,$991 ,"$2,592.00 ","$1,436 ",26.24%,1.17%,314
881,Coca-Cola Amatil Ltd.,Beverages,Australia,www.ccamatil.com,881,871,"Terry James Davis, Managing Director","Nessa I. O'Sullivan, Chief Financial Officer",44.66%,,"$1,463 ","$2,287 ",1442.15,23.4208,"$3,767 ","$4,875 ",2.99%,$287 ,$44.66 ,"$1,525 ",7.64%,0.95%,536.656
